row_index,GeneType,class_index
306,BIOLOGICAL_REGION,0
307,ncRNA,4
308,ncRNA,4
309,BIOLOGICAL_REGION,0
310,BIOLOGICAL_REGION,0
311,PSEUDO,3
312,PSEUDO,3
313,BIOLOGICAL_REGION,0
314,PSEUDO,3
315,BIOLOGICAL_REGION,0
316,PSEUDO,3
317,PSEUDO,3
318,PSEUDO,3
319,OTHER,1
320,snRNA,7
321,BIOLOGICAL_REGION,0
322,PSEUDO,3
323,PSEUDO,3
324,BIOLOGICAL_REGION,0
325,PSEUDO,3
326,tRNA,9
327,PSEUDO,3
328,PSEUDO,3
329,PSEUDO,3
330,ncRNA,4
331,BIOLOGICAL_REGION,0
332,snoRNA,8
333,BIOLOGICAL_REGION,0
334,BIOLOGICAL_REGION,0
335,PSEUDO,3
336,PSEUDO,3
337,ncRNA,4
338,OTHER,1
339,PSEUDO,3
340,PSEUDO,3
341,PSEUDO,3
342,ncRNA,4
343,BIOLOGICAL_REGION,0
344,BIOLOGICAL_REGION,0
345,PSEUDO,3
346,BIOLOGICAL_REGION,0
347,PSEUDO,3
348,ncRNA,4
349,PSEUDO,3
350,BIOLOGICAL_REGION,0
351,OTHER,1
352,tRNA,9
353,PSEUDO,3
354,BIOLOGICAL_REGION,0
355,OTHER,1
356,BIOLOGICAL_REGION,0
357,ncRNA,4
358,BIOLOGICAL_REGION,0
359,PSEUDO,3
360,PSEUDO,3
361,BIOLOGICAL_REGION,0
362,BIOLOGICAL_REGION,0
363,PSEUDO,3
364,BIOLOGICAL_REGION,0
365,ncRNA,4
366,BIOLOGICAL_REGION,0
367,PSEUDO,3
368,PSEUDO,3
369,PSEUDO,3
370,BIOLOGICAL_REGION,0
371,ncRNA,4
372,PSEUDO,3
373,ncRNA,4
374,BIOLOGICAL_REGION,0
375,BIOLOGICAL_REGION,0
376,rRNA,5
377,BIOLOGICAL_REGION,0
378,snoRNA,8
379,BIOLOGICAL_REGION,0
380,BIOLOGICAL_REGION,0
381,snoRNA,8
382,BIOLOGICAL_REGION,0
383,PSEUDO,3
384,PSEUDO,3
385,BIOLOGICAL_REGION,0
386,ncRNA,4
387,PSEUDO,3
388,BIOLOGICAL_REGION,0
389,BIOLOGICAL_REGION,0
390,PSEUDO,3
391,tRNA,9
392,PSEUDO,3
393,PSEUDO,3
394,PSEUDO,3
395,PSEUDO,3
396,PSEUDO,3
397,ncRNA,4
398,PSEUDO,3
399,PSEUDO,3
400,BIOLOGICAL_REGION,0
401,ncRNA,4
402,ncRNA,4
403,BIOLOGICAL_REGION,0
404,PSEUDO,3
405,PSEUDO,3
406,PSEUDO,3
407,PSEUDO,3
408,BIOLOGICAL_REGION,0
409,ncRNA,4
410,PSEUDO,3
411,PSEUDO,3
412,PSEUDO,3
413,BIOLOGICAL_REGION,0
414,PSEUDO,3
415,tRNA,9
416,BIOLOGICAL_REGION,0
417,BIOLOGICAL_REGION,0
418,snoRNA,8
419,PSEUDO,3
420,ncRNA,4
421,PSEUDO,3
422,BIOLOGICAL_REGION,0
423,PSEUDO,3
424,BIOLOGICAL_REGION,0
425,BIOLOGICAL_REGION,0
426,PSEUDO,3
427,PSEUDO,3
428,ncRNA,4
429,OTHER,1
430,ncRNA,4
431,ncRNA,4
432,BIOLOGICAL_REGION,0
433,PSEUDO,3
434,OTHER,1
435,BIOLOGICAL_REGION,0
436,PSEUDO,3
437,ncRNA,4
438,BIOLOGICAL_REGION,0
439,PSEUDO,3
440,PSEUDO,3
441,BIOLOGICAL_REGION,0
442,BIOLOGICAL_REGION,0
443,tRNA,9
444,BIOLOGICAL_REGION,0
445,ncRNA,4
446,BIOLOGICAL_REGION,0
447,snoRNA,8
448,PSEUDO,3
449,BIOLOGICAL_REGION,0
450,snoRNA,8
451,snoRNA,8
452,PSEUDO,3
453,PSEUDO,3
454,snRNA,7
455,BIOLOGICAL_REGION,0
456,snoRNA,8
457,PSEUDO,3
458,PSEUDO,3
459,BIOLOGICAL_REGION,0
460,BIOLOGICAL_REGION,0
461,PSEUDO,3
462,rRNA,5
463,ncRNA,4
464,PSEUDO,3
465,BIOLOGICAL_REGION,0
466,BIOLOGICAL_REGION,0
467,BIOLOGICAL_REGION,0
468,ncRNA,4
469,BIOLOGICAL_REGION,0
470,BIOLOGICAL_REGION,0
471,ncRNA,4
472,PSEUDO,3
473,ncRNA,4
474,PSEUDO,3
475,BIOLOGICAL_REGION,0
476,BIOLOGICAL_REGION,0
477,PSEUDO,3
478,BIOLOGICAL_REGION,0
479,BIOLOGICAL_REGION,0
480,PSEUDO,3
481,PSEUDO,3
482,PSEUDO,3
483,PSEUDO,3
484,BIOLOGICAL_REGION,0
485,PSEUDO,3
486,snoRNA,8
487,PSEUDO,3
488,BIOLOGICAL_REGION,0
489,ncRNA,4
490,ncRNA,4
491,tRNA,9
492,PSEUDO,3
493,BIOLOGICAL_REGION,0
494,snoRNA,8
495,PSEUDO,3
496,rRNA,5
497,PSEUDO,3
498,PSEUDO,3
499,BIOLOGICAL_REGION,0
500,BIOLOGICAL_REGION,0
501,PSEUDO,3
502,PSEUDO,3
503,tRNA,9
504,BIOLOGICAL_REGION,0
505,BIOLOGICAL_REGION,0
506,PSEUDO,3
507,snoRNA,8
508,PSEUDO,3
509,PSEUDO,3
510,BIOLOGICAL_REGION,0
511,PSEUDO,3
512,PSEUDO,3
513,PSEUDO,3
514,BIOLOGICAL_REGION,0
515,snoRNA,8
516,PSEUDO,3
517,PSEUDO,3
518,tRNA,9
519,PSEUDO,3
520,PSEUDO,3
521,BIOLOGICAL_REGION,0
522,PROTEIN_CODING,2
523,PSEUDO,3
524,ncRNA,4
525,BIOLOGICAL_REGION,0
526,BIOLOGICAL_REGION,0
527,BIOLOGICAL_REGION,0
528,BIOLOGICAL_REGION,0
529,PSEUDO,3
530,ncRNA,4
531,BIOLOGICAL_REGION,0
532,PSEUDO,3
533,BIOLOGICAL_REGION,0
534,PSEUDO,3
535,ncRNA,4
536,PSEUDO,3
537,PSEUDO,3
538,PSEUDO,3
539,snoRNA,8
540,PSEUDO,3
541,ncRNA,4
542,PSEUDO,3
543,BIOLOGICAL_REGION,0
544,PSEUDO,3
545,PSEUDO,3
546,PSEUDO,3
547,PSEUDO,3
548,BIOLOGICAL_REGION,0
549,PSEUDO,3
550,ncRNA,4
551,BIOLOGICAL_REGION,0
552,BIOLOGICAL_REGION,0
553,BIOLOGICAL_REGION,0
554,PSEUDO,3
555,BIOLOGICAL_REGION,0
556,PROTEIN_CODING,2
557,snoRNA,8
558,ncRNA,4
559,PSEUDO,3
560,BIOLOGICAL_REGION,0
561,PSEUDO,3
562,PSEUDO,3
563,PSEUDO,3
564,BIOLOGICAL_REGION,0
565,PSEUDO,3
566,PSEUDO,3
567,PSEUDO,3
568,PSEUDO,3
569,tRNA,9
570,PSEUDO,3
571,PSEUDO,3
572,PSEUDO,3
573,BIOLOGICAL_REGION,0
574,PSEUDO,3
575,snRNA,7
576,ncRNA,4
577,PSEUDO,3
578,tRNA,9
579,ncRNA,4
580,PSEUDO,3
581,PSEUDO,3
582,PSEUDO,3
583,PSEUDO,3
584,PSEUDO,3
585,PSEUDO,3
586,PSEUDO,3
587,PSEUDO,3
588,PSEUDO,3
589,ncRNA,4
590,BIOLOGICAL_REGION,0
591,snoRNA,8
592,PSEUDO,3
593,PSEUDO,3
594,rRNA,5
595,PSEUDO,3
596,PSEUDO,3
597,PSEUDO,3
598,BIOLOGICAL_REGION,0
599,BIOLOGICAL_REGION,0
600,PSEUDO,3
601,PSEUDO,3
602,PSEUDO,3
603,snRNA,7
604,BIOLOGICAL_REGION,0
605,BIOLOGICAL_REGION,0
606,BIOLOGICAL_REGION,0
607,PSEUDO,3
608,BIOLOGICAL_REGION,0
609,ncRNA,4
610,BIOLOGICAL_REGION,0
611,PSEUDO,3
612,BIOLOGICAL_REGION,0
613,PSEUDO,3
614,PSEUDO,3
615,BIOLOGICAL_REGION,0
616,BIOLOGICAL_REGION,0
617,PSEUDO,3
618,ncRNA,4
619,BIOLOGICAL_REGION,0
620,PSEUDO,3
621,BIOLOGICAL_REGION,0
622,ncRNA,4
623,BIOLOGICAL_REGION,0
624,ncRNA,4
625,BIOLOGICAL_REGION,0
626,ncRNA,4
627,PSEUDO,3
628,PROTEIN_CODING,2
629,BIOLOGICAL_REGION,0
630,BIOLOGICAL_REGION,0
631,snoRNA,8
632,BIOLOGICAL_REGION,0
633,PSEUDO,3
634,snoRNA,8
635,PSEUDO,3
636,PSEUDO,3
637,PROTEIN_CODING,2
638,PSEUDO,3
639,PSEUDO,3
640,PSEUDO,3
641,PSEUDO,3
642,BIOLOGICAL_REGION,0
643,BIOLOGICAL_REGION,0
644,PSEUDO,3
645,PSEUDO,3
646,PSEUDO,3
647,PSEUDO,3
648,PSEUDO,3
649,ncRNA,4
650,BIOLOGICAL_REGION,0
651,PSEUDO,3
652,BIOLOGICAL_REGION,0
653,snoRNA,8
654,PSEUDO,3
655,BIOLOGICAL_REGION,0
656,ncRNA,4
657,rRNA,5
658,PSEUDO,3
659,PSEUDO,3
660,PSEUDO,3
661,snoRNA,8
662,PSEUDO,3
663,PSEUDO,3
664,PSEUDO,3
665,ncRNA,4
666,BIOLOGICAL_REGION,0
667,BIOLOGICAL_REGION,0
668,ncRNA,4
669,BIOLOGICAL_REGION,0
670,ncRNA,4
671,snoRNA,8
672,PSEUDO,3
673,ncRNA,4
674,PSEUDO,3
675,BIOLOGICAL_REGION,0
676,BIOLOGICAL_REGION,0
677,PSEUDO,3
678,PSEUDO,3
679,BIOLOGICAL_REGION,0
680,tRNA,9
681,PSEUDO,3
682,BIOLOGICAL_REGION,0
683,ncRNA,4
684,PROTEIN_CODING,2
685,PSEUDO,3
686,rRNA,5
687,PROTEIN_CODING,2
688,BIOLOGICAL_REGION,0
689,snRNA,7
690,PROTEIN_CODING,2
691,PSEUDO,3
692,PSEUDO,3
693,BIOLOGICAL_REGION,0
694,PSEUDO,3
695,PSEUDO,3
696,BIOLOGICAL_REGION,0
697,BIOLOGICAL_REGION,0
698,PSEUDO,3
699,PSEUDO,3
700,BIOLOGICAL_REGION,0
701,BIOLOGICAL_REGION,0
702,ncRNA,4
703,ncRNA,4
704,BIOLOGICAL_REGION,0
705,BIOLOGICAL_REGION,0
706,PSEUDO,3
707,BIOLOGICAL_REGION,0
708,ncRNA,4
709,BIOLOGICAL_REGION,0
710,OTHER,1
711,OTHER,1
712,PSEUDO,3
713,BIOLOGICAL_REGION,0
714,BIOLOGICAL_REGION,0
715,PSEUDO,3
716,PSEUDO,3
717,PSEUDO,3
718,PSEUDO,3
719,rRNA,5
720,BIOLOGICAL_REGION,0
721,ncRNA,4
722,BIOLOGICAL_REGION,0
723,PSEUDO,3
724,snRNA,7
725,ncRNA,4
726,ncRNA,4
727,PSEUDO,3
728,PSEUDO,3
729,tRNA,9
730,PSEUDO,3
731,BIOLOGICAL_REGION,0
732,BIOLOGICAL_REGION,0
733,PSEUDO,3
734,rRNA,5
735,PSEUDO,3
736,BIOLOGICAL_REGION,0
737,BIOLOGICAL_REGION,0
738,ncRNA,4
739,tRNA,9
740,snoRNA,8
741,PSEUDO,3
742,ncRNA,4
743,PROTEIN_CODING,2
744,BIOLOGICAL_REGION,0
745,PSEUDO,3
746,ncRNA,4
747,PSEUDO,3
748,ncRNA,4
749,BIOLOGICAL_REGION,0
750,BIOLOGICAL_REGION,0
751,PSEUDO,3
752,PROTEIN_CODING,2
753,PSEUDO,3
754,BIOLOGICAL_REGION,0
755,PSEUDO,3
756,PSEUDO,3
757,PSEUDO,3
758,rRNA,5
759,PSEUDO,3
760,ncRNA,4
761,PSEUDO,3
762,tRNA,9
763,BIOLOGICAL_REGION,0
764,PSEUDO,3
765,BIOLOGICAL_REGION,0
766,PSEUDO,3
767,snRNA,7
768,BIOLOGICAL_REGION,0
769,PSEUDO,3
770,PSEUDO,3
771,BIOLOGICAL_REGION,0
772,PSEUDO,3
773,PSEUDO,3
774,PSEUDO,3
775,PSEUDO,3
776,BIOLOGICAL_REGION,0
777,ncRNA,4
778,PSEUDO,3
779,BIOLOGICAL_REGION,0
780,PSEUDO,3
781,ncRNA,4
782,PSEUDO,3
783,snoRNA,8
784,rRNA,5
785,BIOLOGICAL_REGION,0
786,ncRNA,4
787,BIOLOGICAL_REGION,0
788,rRNA,5
789,PSEUDO,3
790,ncRNA,4
791,PSEUDO,3
792,PSEUDO,3
793,PSEUDO,3
794,ncRNA,4
795,BIOLOGICAL_REGION,0
796,ncRNA,4
797,PSEUDO,3
798,BIOLOGICAL_REGION,0
799,PSEUDO,3
800,PSEUDO,3
801,snoRNA,8
802,BIOLOGICAL_REGION,0
803,BIOLOGICAL_REGION,0
804,ncRNA,4
805,ncRNA,4
806,PSEUDO,3
807,PSEUDO,3
808,BIOLOGICAL_REGION,0
809,PSEUDO,3
810,ncRNA,4
811,PSEUDO,3
812,PSEUDO,3
813,snoRNA,8
814,ncRNA,4
815,PSEUDO,3
816,BIOLOGICAL_REGION,0
817,PSEUDO,3
818,PSEUDO,3
819,PSEUDO,3
820,PSEUDO,3
821,ncRNA,4
822,BIOLOGICAL_REGION,0
823,BIOLOGICAL_REGION,0
824,BIOLOGICAL_REGION,0
825,BIOLOGICAL_REGION,0
826,ncRNA,4
827,PSEUDO,3
828,PSEUDO,3
829,PSEUDO,3
830,PSEUDO,3
831,PSEUDO,3
832,PSEUDO,3
833,BIOLOGICAL_REGION,0
834,PSEUDO,3
835,BIOLOGICAL_REGION,0
836,rRNA,5
837,PSEUDO,3
838,PSEUDO,3
839,PSEUDO,3
840,BIOLOGICAL_REGION,0
841,PSEUDO,3
842,snoRNA,8
843,snoRNA,8
844,snoRNA,8
845,BIOLOGICAL_REGION,0
846,ncRNA,4
847,PROTEIN_CODING,2
848,BIOLOGICAL_REGION,0
849,BIOLOGICAL_REGION,0
850,PSEUDO,3
851,BIOLOGICAL_REGION,0
852,ncRNA,4
853,BIOLOGICAL_REGION,0
854,BIOLOGICAL_REGION,0
855,PSEUDO,3
856,PSEUDO,3
857,tRNA,9
858,ncRNA,4
859,BIOLOGICAL_REGION,0
860,snoRNA,8
861,PSEUDO,3
862,PSEUDO,3
863,PSEUDO,3
864,PSEUDO,3
865,BIOLOGICAL_REGION,0
866,rRNA,5
867,PSEUDO,3
868,BIOLOGICAL_REGION,0
869,PSEUDO,3
870,BIOLOGICAL_REGION,0
871,BIOLOGICAL_REGION,0
872,BIOLOGICAL_REGION,0
873,PSEUDO,3
874,PSEUDO,3
875,BIOLOGICAL_REGION,0
876,PSEUDO,3
877,PSEUDO,3
878,BIOLOGICAL_REGION,0
879,PSEUDO,3
880,PSEUDO,3
881,PSEUDO,3
882,BIOLOGICAL_REGION,0
883,PSEUDO,3
884,PSEUDO,3
885,ncRNA,4
886,PSEUDO,3
887,BIOLOGICAL_REGION,0
888,BIOLOGICAL_REGION,0
889,PSEUDO,3
890,ncRNA,4
891,PSEUDO,3
892,PSEUDO,3
893,ncRNA,4
894,PSEUDO,3
895,BIOLOGICAL_REGION,0
896,PSEUDO,3
897,BIOLOGICAL_REGION,0
898,ncRNA,4
899,PSEUDO,3
900,PSEUDO,3
901,PSEUDO,3
902,PSEUDO,3
903,BIOLOGICAL_REGION,0
904,PSEUDO,3
905,BIOLOGICAL_REGION,0
906,BIOLOGICAL_REGION,0
907,ncRNA,4
908,BIOLOGICAL_REGION,0
909,BIOLOGICAL_REGION,0
910,PSEUDO,3
911,PSEUDO,3
912,BIOLOGICAL_REGION,0
913,PSEUDO,3
914,PSEUDO,3
915,BIOLOGICAL_REGION,0
916,PSEUDO,3
917,PSEUDO,3
918,PSEUDO,3
919,PSEUDO,3
920,ncRNA,4
921,PSEUDO,3
922,PSEUDO,3
923,ncRNA,4
924,BIOLOGICAL_REGION,0
925,BIOLOGICAL_REGION,0
926,BIOLOGICAL_REGION,0
927,BIOLOGICAL_REGION,0
928,tRNA,9
929,PSEUDO,3
930,BIOLOGICAL_REGION,0
931,BIOLOGICAL_REGION,0
932,snoRNA,8
933,BIOLOGICAL_REGION,0
934,PSEUDO,3
935,PSEUDO,3
936,BIOLOGICAL_REGION,0
937,PSEUDO,3
938,BIOLOGICAL_REGION,0
939,BIOLOGICAL_REGION,0
940,BIOLOGICAL_REGION,0
941,BIOLOGICAL_REGION,0
942,BIOLOGICAL_REGION,0
943,PSEUDO,3
944,PSEUDO,3
945,ncRNA,4
946,BIOLOGICAL_REGION,0
947,PSEUDO,3
948,BIOLOGICAL_REGION,0
949,BIOLOGICAL_REGION,0
950,ncRNA,4
951,PSEUDO,3
952,PSEUDO,3
953,PSEUDO,3
954,PSEUDO,3
955,BIOLOGICAL_REGION,0
956,PSEUDO,3
957,ncRNA,4
958,snoRNA,8
959,PSEUDO,3
960,BIOLOGICAL_REGION,0
961,PSEUDO,3
962,PSEUDO,3
963,PSEUDO,3
964,PSEUDO,3
965,ncRNA,4
966,ncRNA,4
967,PROTEIN_CODING,2
968,BIOLOGICAL_REGION,0
969,BIOLOGICAL_REGION,0
970,PSEUDO,3
971,rRNA,5
972,PROTEIN_CODING,2
973,snoRNA,8
974,PSEUDO,3
975,BIOLOGICAL_REGION,0
976,BIOLOGICAL_REGION,0
977,BIOLOGICAL_REGION,0
978,ncRNA,4
979,tRNA,9
980,snoRNA,8
981,PSEUDO,3
982,PROTEIN_CODING,2
983,PSEUDO,3
984,BIOLOGICAL_REGION,0
985,BIOLOGICAL_REGION,0
986,ncRNA,4
987,BIOLOGICAL_REGION,0
988,PSEUDO,3
989,BIOLOGICAL_REGION,0
990,PSEUDO,3
991,BIOLOGICAL_REGION,0
992,PSEUDO,3
993,BIOLOGICAL_REGION,0
994,PSEUDO,3
995,BIOLOGICAL_REGION,0
996,BIOLOGICAL_REGION,0
997,ncRNA,4
998,ncRNA,4
999,PSEUDO,3
1000,PSEUDO,3
1001,rRNA,5
1002,BIOLOGICAL_REGION,0
1003,PSEUDO,3
1004,ncRNA,4
1005,ncRNA,4
1006,PSEUDO,3
1007,PSEUDO,3
1008,PROTEIN_CODING,2
1009,BIOLOGICAL_REGION,0
1010,PSEUDO,3
1011,ncRNA,4
1012,PSEUDO,3
1013,BIOLOGICAL_REGION,0
1014,BIOLOGICAL_REGION,0
1015,PSEUDO,3
1016,BIOLOGICAL_REGION,0
1017,tRNA,9
1018,PSEUDO,3
1019,PSEUDO,3
1020,BIOLOGICAL_REGION,0
1021,PSEUDO,3
1022,PSEUDO,3
1023,ncRNA,4
1024,PROTEIN_CODING,2
1025,PSEUDO,3
1026,BIOLOGICAL_REGION,0
1027,ncRNA,4
1028,snoRNA,8
1029,ncRNA,4
1030,BIOLOGICAL_REGION,0
1031,ncRNA,4
1032,PSEUDO,3
1033,BIOLOGICAL_REGION,0
1034,PSEUDO,3
1035,PSEUDO,3
1036,PSEUDO,3
1037,rRNA,5
1038,BIOLOGICAL_REGION,0
1039,PSEUDO,3
1040,PSEUDO,3
1041,BIOLOGICAL_REGION,0
1042,PSEUDO,3
1043,ncRNA,4
1044,PSEUDO,3
1045,BIOLOGICAL_REGION,0
1046,PSEUDO,3
1047,PSEUDO,3
1048,BIOLOGICAL_REGION,0
1049,PSEUDO,3
1050,PROTEIN_CODING,2
1051,BIOLOGICAL_REGION,0
1052,BIOLOGICAL_REGION,0
1053,BIOLOGICAL_REGION,0
1054,BIOLOGICAL_REGION,0
1055,PSEUDO,3
1056,BIOLOGICAL_REGION,0
1057,BIOLOGICAL_REGION,0
1058,PSEUDO,3
1059,PSEUDO,3
1060,BIOLOGICAL_REGION,0
1061,PSEUDO,3
1062,ncRNA,4
1063,PSEUDO,3
1064,BIOLOGICAL_REGION,0
1065,PSEUDO,3
1066,BIOLOGICAL_REGION,0
1067,ncRNA,4
1068,snoRNA,8
1069,BIOLOGICAL_REGION,0
1070,PSEUDO,3
1071,PSEUDO,3
1072,BIOLOGICAL_REGION,0
1073,ncRNA,4
1074,PSEUDO,3
1075,BIOLOGICAL_REGION,0
1076,PSEUDO,3
1077,PSEUDO,3
1078,BIOLOGICAL_REGION,0
1079,PSEUDO,3
